time (seconds),encoderLeft (meters),encoderRight (meters)
39.601,-0.00045657026930712163,-0.0005084507865831256
39.701,-0.0004577490617521107,-0.0005097598186694086
39.8,-0.00045892808702774346,-0.0005110726342536509
39.901,-0.00046010082587599754,-0.0005123760201968253
40.001,-0.0004612592456396669,-0.0005136659019626677
40.101,-0.0004624057619366795,-0.0005149416392669082
40.201,-0.00046357695828191936,-0.0005162445013411343
40.301,-0.00046474856208078563,-0.0005175475962460041
40.4,-0.00046589106204919517,-0.0005188214709050953
40.501,-0.00046703830594196916,-0.0005200979649089277
40.601,-0.00046821258729323745,-0.0005214040284045041
40.701,-0.0004693403316196054,-0.0005226618959568441
40.802,-0.00047051766887307167,-0.0005239719175733626
40.9,-0.00047168583841994405,-0.0005252730916254222
41.001,-0.000472859013825655,-0.0005265783402137458
41.1,-0.00047399892355315387,-0.0005278512253426015
41.201,-0.0004751271626446396,-0.0005291106062941253
41.309,-0.000476323562907055,-0.0005304381484165788
41.401,-0.0004774437693413347,-0.0005316909519024193
41.501,-0.0004786315548699349,-0.0005330080166459084
41.6,-0.0004797854635398835,-0.0005342927761375904
41.7,-0.00048092176439240575,-0.0005355605971999466
41.799,-0.00048208810039795935,-0.0005368575803004205
41.901,-0.0004832631384488195,-0.0005381627124734223
42,-0.00048442164552398026,-0.0005394549807533622
42.1,-0.000485592579934746,-0.0005407571443356574
42.201,-0.00048673912533558905,-0.0005420364905148745
42.3,-0.00048789186985231936,-0.0005433196201920509
42.4,-0.0004890530835837126,-0.000544611131772399
42.492,-0.000490199017804116,-0.0005458915256895125
42.601,-0.0004913731827400625,-0.0005471942713484168
42.703,-0.0004925434477627277,-0.000548496434930712
42.801,-0.0004937140620313585,-0.0005497969686985016
42.901,-0.0004948540590703487,-0.0005510693299584091
43.001,-0.0004960724036209285,-0.0005524202133528888
43.101,-0.000497221015393734,-0.0005537000834010541
43.201,-0.0004984180559404194,-0.0005550298956222832
43.298,-0.0004995860508643091,-0.0005563297308981419
43.401,-0.0005007623112760484,-0.0005576348630711436
43.501,-0.0005019351956434548,-0.0005589424399659038
43.599,-0.000503091374412179,-0.0005602329038083553
43.701,-0.0005042724660597742,-0.0005615426925942302
43.801,-0.00050538923824206,-0.0005627924110740423
43.901,-0.0005065837176516652,-0.0005641163443215191
44.001,-0.0005077178357169032,-0.000565382419154048
44.1,-0.0005083283176645637,-0.0005660607130266726
44.201,-0.0005083283176645637,-0.0005660607130266726
44.301,-0.0005083283176645637,-0.0005660607130266726
44.4,-0.0005083283176645637,-0.0005660607130266726
